Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
492750,21781,MA CAMPAGNE CUTLERY BOX,2,2009-12-18 13:39:00,14.95,15768.0,United Kingdom
491183,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,4,2009-12-10 12:10:00,2.1,12978.0,United Kingdom
492585,22337,ANGEL DECORATION PAINTED ZINC ,6,2009-12-17 15:26:00,0.65,14085.0,United Kingdom
490294,20974,12 PENCILS SMALL TUBE SKULL,4,2009-12-04 13:41:00,0.65,16710.0,United Kingdom
490695,37450,CERAMIC CAKE BOWL + HANGING CAKES,1,2009-12-07 14:10:00,2.95,14590.0,United Kingdom
490490,22336,DOVE DECORATION PAINTED ZINC ,11,2009-12-06 13:10:00,0.65,14546.0,United Kingdom
493066,21410,COUNTRY COTTAGE  DOORSTOP GREEN,1,2009-12-21 17:14:00,4.25,,United Kingdom
492540,22064,PINK DOUGHNUT TRINKET POT ,2,2009-12-17 13:36:00,1.65,15005.0,United Kingdom
490863,22294,HEART FILIGREE DOVE  SMALL,6,2009-12-08 12:51:00,1.25,17852.0,United Kingdom
489522,22130,PARTY CONE CHRISTMAS DECORATION ,24,2009-12-01 11:45:00,0.85,15998.0,United Kingdom
492472,21327,SKULLS WRITING SET ,1,2009-12-17 11:38:00,1.65,15862.0,United Kingdom
492425,22301,COFFEE MUG CAT + BIRD DESIGN,1,2009-12-16 17:58:00,5.17,,United Kingdom
491104,15056P,EDWARDIAN PARASOL PINK,60,2009-12-09 14:22:00,4.95,12917.0,United Kingdom
C491620,22072,TEA CUP AND SAUCER RETRO SPOT,-3,2009-12-11 14:09:00,3.75,13768.0,United Kingdom
492074,22084,PAPER CHAIN KIT EMPIRE,6,2009-12-15 13:12:00,2.95,12941.0,United Kingdom
489556,21875,KINGS CHOICE MUG,2,2009-12-01 12:47:00,1.25,15719.0,United Kingdom
490323,21215, IVORY PAPER CUP CAKE CASES ,1,2009-12-04 15:27:00,0.55,14087.0,United Kingdom
490741,84466,TOP SECRET PEN SET,4,2009-12-07 17:56:00,2.57,,United Kingdom
490745,20682,RED SPOTTY CHILDS UMBRELLA,2,2009-12-07 18:02:00,6.91,,United Kingdom
489814,22273,FELTCRAFT DOLL MOLLY,2,2009-12-02 13:06:00,2.95,14669.0,United Kingdom
490963,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2009-12-08 15:49:00,8.65,,United Kingdom
492465,21754,HOME BUILDING BLOCK WORD,5,2009-12-17 11:33:00,5.95,13564.0,United Kingdom
491041,20726,LUNCH BAG WOODLAND,2,2009-12-09 09:42:00,4.3,,United Kingdom
490463,21360,JOY LARGE WOOD LETTERS,6,2009-12-06 12:10:00,9.95,14133.0,United Kingdom
493407,20855,PINK PATCH PURSE BLUE HEART,1,2009-12-23 16:04:00,1.65,17867.0,United Kingdom
492783,85047,WHITE BEADED GARLAND STRING 20LIGHT,1,2009-12-18 17:15:00,13.0,,United Kingdom
489857,21821,GLITTER STAR GARLAND WITH BELLS ,2,2009-12-02 14:43:00,7.78,,United Kingdom
